"Defense_Subtype","AMR_Type","Cooccurrence_Count","Alpha_MLE","P_value","Cooccurrence_Type"
"RM type II","tet(D)",159,2.57497348652792,0,"Positive"
"RM type II","blaDHA",103,2.14943007972572,0,"Positive"
"RM type II","armA",107,2.41872758724203,0,"Positive"
"RM type II","tmexC",43,2.29957422025122,0,"Positive"
"RM type II","tmexD",45,2.34558653043024,0,"Positive"
"RM type II","toprJ",45,2.3813408401353,0,"Positive"
"Hok/Sok","blaDHA",143,2.19094132716454,0,"Positive"
"Hok/Sok","mph(A)",1039,2.53551174530029,0,"Positive"
"Shango","tet(D)",25,2.08236593417071,0,"Positive"
"Shango","mph(A)",142,2.35548032440567,0,"Positive"
"MazEF","mph(A)",727,2.5089346313445,0,"Positive"
"MazEF","aph(2'')-Ia",38,2.6540289205612,0,"Positive"
"CRISPR-Cas type IV","tet(D)",23,2.22818069151415,0,"Positive"
"CRISPR-Cas type IV","blaDHA",47,3.33117418033339,0,"Positive"
"CRISPR-Cas type IV","armA",75,4.17850939945808,0,"Positive"
"CRISPR-Cas type IV","msr(E)",83,3.36900040381113,0,"Positive"
"CRISPR-Cas type IV","mph(E)",83,3.37398902383226,0,"Positive"
"CRISPR-Cas type IV","tmexC",26,3.76515217381701,0,"Positive"
"CRISPR-Cas type IV","tmexD",28,3.84410253315244,0,"Positive"
"CRISPR-Cas type IV","toprJ",28,3.87152788886344,0,"Positive"
"AbiV","erm(B)",37,4.33379655766532,0,"Positive"
"CBASS type II","tet(D)",18,2.05033140982362,0,"Positive"
"CBASS type II","msr(E)",57,2.96582260430144,0,"Positive"
"CBASS type II","mph(E)",58,2.99318039414936,0,"Positive"
"CBASS type II","aph(3')-VIa",33,3.78902115985008,0,"Positive"
"RM type IV","ant(6)",14,4.40952558330118,0,"Positive"
"Mokosh type II","tet(D)",23,2.13073322669643,0,"Positive"
"Mokosh type II","blaDHA",50,3.31089808236946,0,"Positive"
"Mokosh type II","armA",80,4.17676440982549,0,"Positive"
"Mokosh type II","msr(E)",95,3.45214945972102,0,"Positive"
"Mokosh type II","mph(E)",95,3.4572895414927,0,"Positive"
"Mokosh type II","tmexC",30,3.87460555722923,0,"Positive"
"Mokosh type II","tmexD",31,3.89541153164989,0,"Positive"
"Mokosh type II","toprJ",31,3.92401113138107,0,"Positive"
"NLR_like","ant(6)",12,5.90956175440773,0,"Positive"
"Mokosh type I","msr(E)",67,3.96528461303037,0,"Positive"
"Mokosh type I","mph(E)",67,3.97008339035455,0,"Positive"
"Mokosh type I","blaOXA",67,2.3418754882913,0,"Positive"
"Mokosh type I","aph(3')-VIa",33,4.46893236477859,0,"Positive"
"PD-T7-3","erm(B)",21,2.53301065202148,0,"Positive"
"SEFIR","erm(B)",28,2.38060618174071,0,"Positive"
"AbiP2","erm(B)",47,4.32289481931357,0,"Positive"
"NLR_like","tet(D)",13,2.8201197876945,6.42086384061713e-12,"Positive"
"RM type IV","aph(2'')-Ia",13,2.58838416855666,1.67351021929107e-10,"Positive"
"RM type IV","tmexC",12,2.17242546862494,5.3457666515655e-08,"Positive"
"RM type IV","toprJ",12,2.17242546862494,5.3457666515655e-08,"Positive"
"RM type IV","tmexD",12,2.14991591661127,6.68425842453857e-08,"Positive"
