"Defense_Subtype","AMR_Type","Cooccurrence_Count","Alpha_MLE","P_value","Cooccurrence_Type"
"RM type II","tet(D)",159,2.57497348652792,0,"Positive"
"RM type II","blaNDM",111,0.815945164476618,0,"Negative"
"RM type II","ble",114,0.960084915055259,0,"Negative"
"RM type II","blaDHA",103,2.14943007972572,0,"Positive"
"RM type II","sul1",616,1.15977107588677,0,"Positive"
"RM type II","armA",107,2.41872758724203,0,"Positive"
"RM type II","msr(E)",146,1.75337382387506,0,"Positive"
"RM type II","mph(E)",146,1.75928104327496,0,"Positive"
"RM type II","aph(6)-Id",680,1.61955243437789,0,"Positive"
"RM type II","aph(3'')-Ib",673,1.6318437713365,0,"Positive"
"RM type II","sul2",627,1.44690573520401,0,"Positive"
"RM type II","qnrB",611,3.06046075462637,0,"Positive"
"RM type II","blaKPC",205,1.12250562361238,0,"Positive"
"RM type II","tet(A)",401,0.957916674748477,0,"Negative"
"RM type II","blaTEM",815,1.46787288424876,0,"Positive"
"RM type II","blaCTX-M",584,1.50027749745619,0,"Positive"
"RM type II","catA2",142,1.91861185792526,0,"Positive"
"RM type II","blaOXA",535,1.60184116550645,0,"Positive"
"RM type II","tmexC",43,2.29957422025122,0,"Positive"
"RM type II","tmexD",45,2.34558653043024,0,"Positive"
"RM type II","toprJ",45,2.3813408401353,0,"Positive"
"RM type II","aadA2",214,0.770791115163481,0,"Negative"
"RM type II","arr",69,0.891910639810537,0,"Negative"
"RM type II","aac(3)-IId",194,1.1957901214674,0,"Positive"
"RM type II","qnrS",153,0.70609752428208,0,"Negative"
"RM type II","blaSHV",123,1.09770668570364,0,"Positive"
"RM type II","aac(6')-Ib",230,1.59139393768083,0,"Positive"
"RM type II","aadA1",258,1.15162161378735,0,"Positive"
"RM type II","dfrA14",202,1.93132930982489,0,"Positive"
"RM type II","cmlA1",79,0.854739869264594,0,"Negative"
"RM type II","aac(3)-IIe",287,2.75416823807529,0,"Positive"
"RM type II","dfrA12",143,0.724358179920166,0,"Negative"
"RM type II","catA1",76,0.892931573840252,0,"Negative"
"RM type II","tet(B)",92,0.92799736994135,0,"Negative"
"RM type II","blaIMP",113,2.75292924530988,0,"Positive"
"RM type II","dfrA19",43,2.09385235707838,0,"Positive"
"RM type II","arr-3",208,1.85755541829797,0,"Positive"
"RM type II","catB3",419,2.27384595725245,0,"Positive"
"RM type II","aac(6')-Ib-cr",497,2.3181467673521,0,"Positive"
"RM type II","aph(3')-Ia",164,0.701613190495722,0,"Negative"
"RM type II","aadA16",109,2.25233124649557,0,"Positive"
"RM type II","dfrA27",46,2.13391528899742,0,"Positive"
"RM type II","ere(A)",47,2.2581011897013,0,"Positive"
"RM type II","aac(6')-IIc",76,2.84375813622101,0,"Positive"
"RM type II","blaFONA",19,3.44067972542816,0,"Positive"
"RM type II","aph(3')-I",48,5.76186102034577,0,"Positive"
"Hok/Sok","tet(D)",156,1.95094665569277,0,"Positive"
"Hok/Sok","blaNDM",179,0.835422012634796,0,"Negative"
"Hok/Sok","ble",193,1.06596457087249,0,"Positive"
"Hok/Sok","blaDHA",143,2.19094132716454,0,"Positive"
"Hok/Sok","sul1",1540,2.02314341240482,0,"Positive"
"Hok/Sok","armA",115,1.97665368557196,0,"Positive"
"Hok/Sok","msr(E)",135,1.05621690437246,0,"Positive"
"Hok/Sok","mph(E)",135,1.06194333471108,0,"Positive"
"Hok/Sok","aph(6)-Id",1100,1.75865476287329,0,"Positive"
"Hok/Sok","aph(3'')-Ib",1052,1.70942877405644,0,"Positive"
"Hok/Sok","sul2",1015,1.55196828721645,0,"Positive"
"Hok/Sok","qnrB",442,1.73431977542377,0,"Positive"
"Hok/Sok","blaKPC",399,1.47428083203675,0,"Positive"
"Hok/Sok","tet(M)",100,0.871399690717393,0,"Negative"
"Hok/Sok","tet(A)",1049,1.79343102533787,0,"Positive"
"Hok/Sok","blaTEM",1712,2.09614019364914,0,"Positive"
"Hok/Sok","blaCTX-M",1257,2.19264489398508,0,"Positive"
"Hok/Sok","fosA",245,2.8064429729063,0,"Positive"
